iter	Passed	Remaining
409	3581	5153
410	3585	5138
411	3590	5124
412	3595	5110
413	3599	5095
414	3607	5084
415	3618	5079
416	3622	5064
417	3629	5053
418	3635	5041
419	3644	5033
420	3656	5029
421	3663	5018
422	3672	5009
423	3681	5001
424	3689	4991
425	3693	4977
426	3699	4963
427	3703	4948
428	3706	4933
429	3710	4918
430	3715	4905
431	3721	4893
432	3725	4878
433	3732	4867
434	3737	4854
435	3740	4838
436	3746	4826
437	3751	4813
438	3756	4800
439	3763	4790
440	3768	4776
441	3772	4762
442	3777	4748
443	3781	4735
444	3790	4727
445	3795	4714
446	3800	4701
447	3805	4688
448	3809	4674
449	3814	4662
450	3820	4650
451	3824	4636
452	3828	4622
453	3834	4611
454	3841	4601
455	3847	4590
456	3853	4578
457	3858	4565
458	3862	4552
459	3869	4542
460	3875	4531
461	3879	4517
462	3885	4506
463	3890	4493
464	3895	4481
465	3899	4468
466	3902	4453
467	3910	4445
468	3915	4432
469	3921	4422
470	3926	4410
471	3930	4396
472	3934	4383
473	3938	4370
474	3943	4358
475	3949	4347
476	3954	4335
477	3957	4322
478	3964	4312
479	3971	4302
480	3977	4291
481	3983	4281
482	3988	4269
483	3994	4258
484	3999	4247
485	4005	4236
486	4010	4224
487	4019	4217
488	4023	4204
489	4027	4191
490	4032	4180
491	4037	4168
492	4041	4156
493	4048	4146
494	4053	4135
495	4062	4127
496	4067	4116
497	4072	4105
498	4083	4100
499	4089	4089
500	4093	4077
501	4097	4064
502	4101	4052
503	4105	4040
504	4111	4030
505	4115	4018
506	4119	4005
507	4123	3994
508	4131	3985
509	4134	3972
510	4138	3960
511	4143	3949
512	4150	3939
513	4154	3928
514	4159	3917
515	4163	3904
516	4166	3892
517	4171	3881
518	4175	3870
519	4179	3858
520	4183	3846
521	4187	3834
522	4191	3823
523	4197	3812
524	4202	3801
525	4206	3790
526	4211	3780
527	4215	3768
528	4219	3757
529	4226	3747
530	4231	3737
531	4236	3726
532	4239	3714
533	4243	3702
534	4247	3691
535	4257	3685
536	4262	3675
537	4266	3663
538	4269	3651
539	4276	3643
540	4279	3631
541	4286	3622
542	4293	3613
543	4298	3602
544	4303	3592
545	4307	3581
546	4313	3572
547	4318	3562
548	4323	3551
549	4329	3542
550	4334	3532
551	4338	3521
552	4343	3511
553	4347	3500
554	4356	3492
555	4359	3481
556	4365	3471
557	4369	3461
558	4373	3450
559	4378	3439
560	4381	3428
561	4385	3417
562	4390	3407
563	4393	3396
564	4398	3386
565	4401	3374
566	4404	3363
567	4409	3353
568	4412	3342
569	4418	3333
570	4423	3323
571	4428	3313
572	4434	3304
573	4439	3294
574	4444	3284
575	4451	3276
576	4457	3267
577	4461	3257
578	4467	3248
579	4472	3238
580	4478	3229
581	4483	3220
582	4488	3210
583	4493	3200
584	4497	3190
585	4502	3181
586	4506	3170
587	4510	3160
588	4514	3150
589	4519	3140
590	4524	3131
591	4529	3121
592	4533	3111
593	4538	3102
594	4544	3093
595	4551	3085
596	4557	3076
597	4561	3066
598	4567	3057
599	4572	3048
600	4576	3038
601	4579	3027
602	4582	3017
603	4588	3008
604	4594	2999
605	4599	2990
606	4603	2980
607	4607	2970
608	4612	2961
609	4617	2952
610	4622	2943
611	4630	2935
612	4636	2927
613	4641	2917
614	4645	2908
615	4651	2899
616	4656	2890
617	4660	2880
618	4663	2870
619	4667	2860
620	4672	2851
621	4676	2841
622	4679	2831
623	4682	2821
624	4689	2813
625	4695	2805
626	4700	2796
627	4705	2787
628	4710	2778
629	4715	2769
630	4720	2760
631	4725	2751
632	4729	2741
633	4735	2733
634	4740	2724
635	4744	2715
636	4752	2708
637	4757	2699
638	4761	2690
639	4767	2681
640	4773	2673
641	4776	2663
642	4782	2655
643	4789	2647
644	4795	2639
645	4802	2631
646	4805	2621
647	4809	2612
648	4813	2603
649	4817	2593
650	4823	2585
651	4828	2577
652	4838	2571
653	4843	2562
654	4848	2553
655	4852	2544
656	4857	2536
657	4862	2527
658	4866	2517
659	4873	2510
660	4878	2502
661	4882	2493
662	4889	2485
663	4896	2477
664	4904	2470
665	4909	2461
666	4913	2453
667	4918	2444
668	4923	2435
669	4927	2426
670	4931	2417
671	4935	2409
672	4944	2402
673	4949	2393
674	4954	2385
675	4961	2377
676	4967	2369
677	4971	2361
678	4977	2353
679	4982	2344
680	4987	2336
681	4993	2328
682	4996	2319
683	5000	2310
684	5004	2301
685	5010	2293
686	5015	2285
687	5021	2277
688	5025	2268
689	5036	2262
690	5040	2254
691	5045	2245
692	5050	2237
693	5056	2229
694	5061	2221
695	5065	2212
696	5070	2204
697	5073	2195
698	5077	2186
699	5080	2177
700	5086	2169
701	5092	2161
702	5099	2154
703	5106	2147
704	5114	2140
705	5121	2132
706	5125	2124
707	5130	2116
708	5135	2107
709	5142	2100
710	5147	2092
711	5154	2085
712	5160	2077
713	5168	2070
714	5174	2062
715	5178	2054
716	5182	2045
717	5188	2037
718	5192	2029
719	5196	2020
720	5201	2012
721	5205	2004
722	5211	1996
723	5215	1988
724	5219	1979
725	5225	1972
726	5229	1963
727	5234	1955
728	5238	1947
729	5244	1939
730	5249	1931
731	5254	1923
732	5260	1916
733	5264	1907
734	5270	1900
735	5276	1892
736	5282	1884
737	5286	1876
738	5297	1871
739	5302	1862
740	5305	1854
741	5310	1846
742	5315	1838
743	5319	1830
744	5322	1821
745	5327	1813
746	5330	1805
747	5339	1798
748	5347	1791
749	5350	1783
750	5356	1775
751	5364	1769
752	5368	1760
753	5375	1753
754	5380	1746
755	5388	1739
756	5394	1731
757	5397	1723
758	5402	1715
759	5407	1707
760	5413	1700
761	5417	1691
762	5421	1684
763	5428	1677
764	5433	1669
765	5439	1661
766	5444	1653
767	5448	1645
768	5451	1637
769	5456	1629
770	5459	1621
771	5463	1613
772	5467	1605
773	5472	1597
774	5476	1589
775	5481	1582
776	5486	1574
777	5490	1566
778	5495	1559
779	5499	1551
780	5504	1543
781	5507	1535
782	5512	1527
783	5516	1519
784	5519	1511
785	5525	1504
786	5530	1496
787	5533	1488
788	5538	1481
789	5543	1473
790	5548	1465
791	5553	1458
792	5559	1451
793	5564	1443
794	5568	1435
795	5571	1427
796	5576	1420
797	5580	1412
798	5584	1404
799	5587	1396
800	5591	1389
801	5596	1381
802	5600	1373
803	5604	1366
804	5608	1358
805	5613	1351
806	5617	1343
807	5621	1335
808	5626	1328
809	5629	1320
810	5634	1313
811	5640	1305
812	5644	1298
813	5649	1290
814	5653	1283
815	5658	1275
816	5662	1268
817	5666	1260
818	5669	1252
819	5672	1245
820	5677	1237
821	5681	1230
822	5685	1222
823	5688	1215
824	5692	1207
